name,location,property_status,property_type,property_size,price,bedrooms,bathrooms,Pool,Latitude,Longitude,link
Paradera 1E,Paradera,Reduced in price, Residential,1471 m² (15.834 Sq Ft),355.000,3,2,No,12.537255567911174,"-70.00804775924682
                                        ",https://kw-aruba.com//listings/paradera-1e
Savaneta 349-F,Savaneta,Reduced in price, Residential,2355 m² (25.349 Sq Ft),344.000,5,4,No,12.447591060632318,"-69.93468397827148
                                        ",https://kw-aruba.com//listings/savaneta-349-f
Koyari 33-F,Noord,Sold, Residential, m² (0 Sq Ft),336.000,3,2,,12.560834465014661,"-70.04405373306274
                                        ",https://kw-aruba.com//listings/koyari-33-f
Coba Lodo 12-F,Santa Cruz,Sold, Residential,4447 m² (47.868 Sq Ft),329.000,3,2,No,12.516934513907815,"-69.96343457670211
                                        ",https://kw-aruba.com//listings/coba-lodo
Boton 9 - K,Santa Cruz,Under contract, Residential,1128 m² (12.142 Sq Ft),325.500,4,2,No,12.49642855316839,"-69.96427410812377
                                        ",https://kw-aruba.com//listings/boton-9-k
Verano 12,Oranjestad,Reduced in price, Residential,474 m² (5.102 Sq Ft),325.000,5,4,,,,https://kw-aruba.com//listings/verano-12
Jan Flemming 5-H,Santa Cruz,New Listing, Residential,465 m² (5.005 Sq Ft),320.225,3,2,No,12.494509063767111,"-69.97555011482238
                                        ",https://kw-aruba.com//listings/jan-flemming-5-h
Alto Vista Delight,Noord,Sold, Residential,608 m² (6.545 Sq Ft),315.000,2,2,No,12.569405693698208,"-70.02190941543579
                                        ",https://kw-aruba.com//listings/alto-vista-20
Montaña 44,Noord,New Listing, Residential,750 m² (8.073 Sq Ft),310.000,4,3,No,12.558096009794046,"-70.0263296958923
                                        ",https://kw-aruba.com//listings/montana-44
Barcadera 21-J,Santa Cruz,New Listing, Residential,719 m² (7.739 Sq Ft),303.371,4,3,No,12.500304149992214,"-69.98669737548828
                                        ",https://kw-aruba.com//listings/barcadera-21-j
Seroe Pita 34-L,Paradera,Sold, Residential,941 m² (10.129 Sq Ft),299.000,3,2,Yes,12.532799264619817,"-69.98505049915313
                                        ",https://kw-aruba.com//listings/seroe-pita-34-l
Ayo 26E,Ayo,Sold, Residential,899 m² (9.677 Sq Ft),293.821,4,4,No,12.53289875989397,"-69.98420828552246
                                        ",https://kw-aruba.com//listings/ayo-26e
Fortheuvelstraat 49,San Nicolas,,,724 m² (7.793 Sq Ft),292.134,4,3,,,,https://kw-aruba.com//listings/fortheuvelstraat-49
Papaya Stones & Gardens,Paradera,Reduced in price, Residential,393 m² (4.230 Sq Ft),285.000,3,2,No,12.545550056433646,"-70.00760787696838
                                        ",https://kw-aruba.com//listings/papaya-stones-gardens
Palisiaweg 46,San Nicolas,,,1195 m² (12.863 Sq Ft),280.000,3,3,No,12.450618791790669,"-69.91296881408691
                                        ",https://kw-aruba.com//listings/palesiaweg-49
"Watapanastraat 5, Oranjestad",Oranjestad,Reduced in price, Residential,841 m² (9.053 Sq Ft),278.090,8,6,No,12.531377525323867,"-70.02972269029617
                                        ",https://kw-aruba.com//listings/watapanastraat-5-oranjestad
Paradera Residence,Paradera,New Listing, Residential,535 m² (5.759 Sq Ft),278.090,3,2,No,12.533816857555601,"-70.00496593491019
                                        ",https://kw-aruba.com//listings/paradera-residence
Paradera 117G,Paradera,Sold, Residential,519 m² (5.587 Sq Ft),269.100,3,2,Yes,12.535590354312623,"-70.00044101448059
                                        ",https://kw-aruba.com//listings/paradera-117g
Weststraat 65 Apartmentcomplex,Oranjestad,Under contract, Residential,491 m² (5.285 Sq Ft),261.234,7,6,No,12.527366240695258,"-70.03847473831176
                                        ",https://kw-aruba.com//listings/weststraat-65-apartmentcomplex
Paradera 173,Paradera,New Listing, Residential,706 m² (7.599 Sq Ft),252.809,5,1,No,12.529652052182886,"-69.99863857002258
                                        ",https://kw-aruba.com//listings/paradera-173
Cura Cabai 23,Savaneta,Sold, Residential,1050 m² (11.302 Sq Ft),243.000,3,2,No,12.44483568981796,"-69.93104690284729
                                        ",https://kw-aruba.com//listings/cura-cabai-23
Great Hillweg 23,San Nicolas,Under contract, Residential,581 m² (6.254 Sq Ft),236.000,2,2,No,12.446271000697587,"-69.89939683647152
                                        ",https://kw-aruba.com//listings/great-hillweg-23
Cas Ariba 37C,Santa Cruz,Sold, Residential,701 m² (7.546 Sq Ft),221.910,3,2,No,12.513606432012574,"-69.97223490447998
                                        ",https://kw-aruba.com//listings/cas-aruba-37c
Yanana 9,Oranjestad,,,638 m² (6.867 Sq Ft),219.101,3,3,,12.52381834882794,"-70.01671665878295
                                        ",https://kw-aruba.com//listings/yanana-9
Isla Esmeralda Lot 18,Tanki Leendert,Sold, Residential,352 m² (3.789 Sq Ft),217.574,2,2,,12.53842854209878,"-70.01557940216064
                                        ",https://kw-aruba.com//listings/isla-esmeralda-lot-18
Boegoeroei 32-C,Noord,Sold, Residential,501 m² (5.393 Sq Ft),215.000,2,2,No,12.55932648563237,"-70.02954298229217
                                        ",https://kw-aruba.com//listings/boegoeroei-32-c
Orcuyo 30,Santa Cruz,Sold, Residential, m² (0 Sq Ft),213.000,0,0,,12.515842614506465,"-69.99154144496917
                                        ",https://kw-aruba.com//listings/orcuyo-30
Mabon 5-B,San Nicolas,New Listing, Residential, m² (0 Sq Ft),212.922,4,3,No,12.45253598737222,"-69.92832177848815
                                        ",https://kw-aruba.com//listings/mabon
Seroe Blanco 610,Oranjestad,New Listing, Residential,182 m² (1.959 Sq Ft),210.674,2,1,Yes,12.528698978607697,"-70.02168947429656
                                        ",https://kw-aruba.com//listings/sero-blanco-601
Hooiberg 18-I,Santa Cruz,Under contract, Residential,781 m² (8.407 Sq Ft),207.023,2,2,No,12.522257784626039,"-69.99618166656494
                                        ",https://kw-aruba.com//listings/hooiberg-residence
Savaneta 125-G,Savaneta,Under contract, Residential,819 m² (8.816 Sq Ft),202.247,3,2,No,12.450702603915598,"-69.94600826473236
                                        ",https://kw-aruba.com//listings/savaneta-125-g
Paradera 117L - 1,Paradera,New Listing, Residential,157 m² (1.690 Sq Ft),199.000,2,1,No,12.534595410234466,"-69.99994748802185
                                        ",https://kw-aruba.com//listings/paradera-117l-1
Sabana Grandi 34 E,Santa Cruz,Reduced in price, Residential,623 m² (6.706 Sq Ft),196.629,3,1,No,12.498547045389548,"-69.98943591089248
                                        ",https://kw-aruba.com//listings/sabana-grandi-34-E
Santa Cruz Residence,Santa Cruz,Under contract, Residential,907 m² (9.763 Sq Ft),196.629,4,2,No,12.515460317701331,"-69.98200350971221
                                        ",https://kw-aruba.com//listings/santa-cruz-residence
MACUARIMA 144H,Santa Cruz,Sold, Residential,721 m² (7.761 Sq Ft),196.600,3,2,No,12.501749627981647,"-69.97281426162719
                                        ",https://kw-aruba.com//listings/macuarima-144
Caya Roland H Lacle 22,Oranjestad,New Listing, Residential,402 m² (4.327 Sq Ft),190.000,3,2,No,12.521880734141078,"-70.02871149749755
                                        ",https://kw-aruba.com//listings/caya-roland-h-lacle-22
Pos Chiquito 16 B,Pos Chiquito,Sold, Residential,599 m² (6.448 Sq Ft),182.585,3,1,,12.468878718658015,"-69.97227781982421
                                        ",https://kw-aruba.com//listings/pos-chiquito-16-b
Jan Flemming 3-G,Santa Cruz,Under contract, Residential,307 m² (3.305 Sq Ft),182.584,3,2,No,12.508055169267013,"-69.95596998901367
                                        ",https://kw-aruba.com//listings/jan-flemming-3-g
Sabana Liber 486,Noord,Sold, Residential,200 m² (2.153 Sq Ft),178.090,2,1,Yes,12.55803317682733,"-70.02187722892761
                                        ",https://kw-aruba.com//listings/sabana-liber-486
Coba Lodo 2-G,Santa Cruz,Reduced in price, Residential,688 m² (7.406 Sq Ft),176.967,3,2,No,12.501896270224432,"-69.95339506835937
                                        ",https://kw-aruba.com//listings/Coba Lodo-2-G
Wabistraat 2,Oranjestad,Sold, Residential,678 m² (7.298 Sq Ft),167.977,3,2,No,12.532071376972818,"-70.03079289169311
                                        ",https://kw-aruba.com//listings/wabistraat-2
Weg Seroe Blanco 29 S,San Nicolas,Sold, Residential,689 m² (7.416 Sq Ft),150.000,4,3,,12.454536979673854,"-69.90298026771545
                                        ",https://kw-aruba.com//listings/weg-seroe-blanco-29-s
Caya Frere Fredericus,Oranjestad,Under contract, Residential,521 m² (5.608 Sq Ft),146.067,3,2,No,,,https://kw-aruba.com//listings/caya-frere-federicus
Kadushi largo 8H,Santa Cruz,Reduced in price, Residential,742 m² (7.987 Sq Ft),123.596,3,2,No,12.520131631628434,"-69.97134441108703
                                        ",https://kw-aruba.com//listings/kadushi-largo-8h
Blue Residence Townhouse 2,Eagle Beach,New Listing, Condominium/Townhouse,281 m² (3.025 Sq Ft),1.500.000,4,3,Yes,,,https://kw-aruba.com//listings/blue-residence-2
Blue Residence Penthouse 1-2,Eagle Beach,,, m² (0 Sq Ft),1.223.550,3,4,Yes,12.560724508483478,"-70.05373114318847
                                        ",https://kw-aruba.com//listings/blue-residence-penthouse-1-2
Blue Residence Townhouse 4,Eagle Beach,New Listing, Condominium/Townhouse, m² (0 Sq Ft),1.179.650,4,4,Yes,12.560279445853697,"-70.05360776157379
                                        ",https://kw-aruba.com//listings/blue-residence-townhouse-4
Blue Residence Penthouse 3-5,Eagle Beach,New Listing, Condominium/Townhouse, m² (0 Sq Ft),1.169.750,3,4,Yes,12.560310862064512,"-70.0535916683197
                                        ",https://kw-aruba.com//listings/blue-residence-penthouse-3-5
Blue Residence Penthouse 1-5,Eagle Beach,Sold, Condominium/Townhouse, m² (0 Sq Ft),1.145.670,3,4,Yes,12.560685238282366,"-70.0537365076065
                                        ",https://kw-aruba.com//listings/blue-residence-penthouse-1-5
Blue Residence Penthouse 2-2,Eagle Beach,New Listing, Condominium/Townhouse, m² (0 Sq Ft),1.142.500,3,4,Yes,12.560703564376833,"-70.05369895668026
                                        ",https://kw-aruba.com//listings/blue-residence-penthouse-2-2
O Condominium Eagle Beach,Noord,Sold, Condominium/Townhouse, m² (0 Sq Ft),949.200,3,2,Yes,12.544876562206628,"-70.05983250823441
                                        ",https://kw-aruba.com//listings/o-condominium-eagle-beach
Oceania unit 423,Eagle Beach,New Listing, Condominium/Townhouse,144 m² (1.550 Sq Ft),890.000,2,2,Yes,12.547979704500731,"-70.05763643951416
                                        ",https://kw-aruba.com//listings/oceania-unit-423
Blue Residences unit #221,Eagle Beach,New Listing, Condominium/Townhouse, m² (0 Sq Ft),826.500,3,3,Yes,12.560127600780088,"-70.05355948181152
                                        ",https://kw-aruba.com//listings/blue-residences-unit-221
Blue Residence Unit 121,Eagle Beach,New Listing, Condominium/Townhouse, m² (0 Sq Ft),800.000,3,3,Yes,12.512035332023832,"-70.00901335449218
                                        ",https://kw-aruba.com//listings/blue-residence-unit-121
"Blue Residence, Townhouse #5",Oranjestad,Sold, Condominium/Townhouse, m² (0 Sq Ft),799.000,4,4,Yes,12.560734980535885,"-70.05378478736877
                                        ",https://kw-aruba.com//listings/townhouse
Porta Al Sole - Model Terracotta,Noord,New Listing, Condominium/Townhouse, m² (0 Sq Ft),795.000,3,4,Yes,12.582107550759522,"-70.0384425518036
                                        ",https://kw-aruba.com//listings/porta-al-sole-style-d
Porta Al Sole - Model Sepia,Noord,New Listing, Condominium/Townhouse, m² (0 Sq Ft),760.000,3,4,Yes,12.582285560780093,"-70.03832989902496
                                        ",https://kw-aruba.com//listings/porta-al-sole-model-sepia
The Daher Residence,Noord,,,271 m² (2.917 Sq Ft),748.393,2,3,Yes,12.585138939847996,"-70.04006260604858
                                        ",https://kw-aruba.com//listings/daher-residence
Acqua Condominiums,Palm Beach,,, m² (0 Sq Ft),740.479,2,2,,12.575269778314631,"-70.0421010848999
                                        ",https://kw-aruba.com//listings/acqua-condominiums
Porta Al Sole - Model Aqua,Noord,New Listing, Condominium/Townhouse, m² (0 Sq Ft),725.000,3,4,Yes,12.582175613429134,"-70.0383191701889
                                        ",https://kw-aruba.com//listings/porta-al-sole-style
Porta Al Sole Condos,Noord,New Listing, Condominium/Townhouse, m² (0 Sq Ft),685.000,3,4,Yes,12.581803886321978,"-70.0379597541809
                                        ",https://kw-aruba.com//listings/portaalsole
Gold Coast Diamante 194A,Malmok,New Listing, Condominium/Townhouse, m² (0 Sq Ft),650.000,3,2,Yes,12.598122722764725,"-70.04165047378541
                                        ",https://kw-aruba.com//listings/diamante-194a
Private Villa at Azure Residences,Eagle Beach,Under contract, Condominium/Townhouse, m² (0 Sq Ft),595.000,3,2,Yes,12.559046356544203,"-70.05365335912704
                                        ",https://kw-aruba.com//listings/private-villa-azure-residences
Blue Residence 115,Eagle Beach,Sold, Condominium/Townhouse, m² (0 Sq Ft),545.475,2,2,Yes,12.560734980536088,"-70.0538813468933
                                        ",https://kw-aruba.com//listings/blue-residence-115
Azure Residence 112,Eagle Beach,Sold, Condominium/Townhouse, m² (0 Sq Ft),539.077,2,2,Yes,12.560368458441271,"-70.05370968551635
                                        ",https://kw-aruba.com//listings/azure-residence-112
The Cove Condominiums,Palm Beach,Price upon Request, Condominium/Townhouse, m² (0 Sq Ft),upon,3,2,Yes,12.575175535155791,"-70.04379087657928
                                        ",https://kw-aruba.com//listings/cove-condominiums
Tierra Del Sol - Las Palmas 32A,Malmok,New Listing, Condominium/Townhouse, m² (0 Sq Ft),490.000,2,3,Yes,12.602876298229472,"-70.04060441226959
                                        ",https://kw-aruba.com//listings/las-palmas-32-
Waykiri Condo A-07,Noord,Under contract, Condominium/Townhouse, m² (0 Sq Ft),475.000,2,2,Yes,12.58433266714311,"-70.036897599411
                                        ",https://kw-aruba.com//listings/waykiri-condo-07
Coral Shell Condominium,Oranjestad,,, m² (0 Sq Ft),468.500,1,1,Yes,12.51401229795567,"-70.03220373363494
                                        ",https://kw-aruba.com//listings/coral-shell-condominium
Blue Residences unit #633,Eagle Beach,Under contract, Condominium/Townhouse, m² (0 Sq Ft),438.500,1,1,Yes,12.560253265674852,"-70.0536453125
                                        ",https://kw-aruba.com//listings/blue-residences-unit-633
Diamante 24 Gold Coast - Type Colorado,Malmok,New Listing, Condominium/Townhouse,110 m² (1.184 Sq Ft),379.000,2,3,Yes,12.599850354001255,"-70.0407331583023
                                        ",https://kw-aruba.com//listings/diamante-24-gold-coast-type-colorado
Diamante 68,Malmok,Sold, Condominium/Townhouse,108 m² (1.163 Sq Ft),369.000,2,3,Yes,12.599876530142614,"-70.04304522247314
                                        ",https://kw-aruba.com//listings/diamante-68
Gold Coast Diamante 236D,Malmok,,, m² (0 Sq Ft),350.000,2,2,Yes,12.597604431123369,"-70.03982657165527
                                        ",https://kw-aruba.com//listings/diamante-236d
Gold Coast Diamante 238C,Malmok,Under contract, Condominium/Townhouse, m² (0 Sq Ft),350.000,2,2,Yes,12.597850488901981,"-70.0398694869995
                                        ",https://kw-aruba.com//listings/diamante-238c
