name,location,property_status,property_type,price,bedrooms,bathrooms,Pool,Latitude,Longitude,link
San Nicolas Villa,San Nicolas,Reduced,Residential for Sale,"253,000",7,5,No,12.439060007264501,"-69.88921865465699
        ",https://remaxaruba.com/property/details/Casa-golf-1
Noord Cura Cabay 146,Savaneta,New Listing,Residential for Sale,"250,000",4,3,No,12.444843237888104,"-69.92966636660157
        ",https://remaxaruba.com/property/details/noord-cura-cabay-146
Nuñe 7 H,Oranjestad,New Listing,Residential for Sale,"247,191",3,1,No,12.541337080931902,"-70.00691398623047
        ",https://remaxaruba.com/property/details/nune-7-h
Ponton Property Land,Oranjestad,,,"247,191",0,0,No,12.53257116327549,"-70.02906903269349
        ",https://remaxaruba.com/property/details/verlenging-kibrahacha-straat
Gold Coast Andicuri,Noord,New Listing,Condominium for Sale,"245,000",1,1,Yes,12.598763732471054,"-70.04062398912959
        ",https://remaxaruba.com/property/details/gold-coast-andicuri
Aruba's Life Condominiums One Bed Loft,Palm Beach,New Listing,Condominium for Sale,"245,000",1,1,Yes,12.56523499631774,"-70.02839311602173
        ",https://remaxaruba.com/property/details/arubas-life-condominiums-one-bed-loft
Sero Biento Z/N,Santa Cruz,Reduced,Land for Sale,"244,000",0,0,No,12.509539572474495,"-69.99721511843262
        ",https://remaxaruba.com/property/details/sero-biento-zn-2
Spechtstraat 7,Oranjestad,New Listing,Residential for Sale,"233,146",5,3,No,12.527910548020147,"-70.03873571398316
        ",https://remaxaruba.com/property/details/spechtstraat-7
Paradera,Paradera,New Listing,Residential for Sale,"231,000",2,1,1 m,12.539169193571324,"-70.00134572031556
        ",https://remaxaruba.com/property/details/paradera
Catalina Estates,Malmok,New Listing,Land for Sale,"225,000",0,0,0 m,12.60536006349778,"-70.04766210558472
        ",https://remaxaruba.com/property/details/catalina-estates-2
Private Property De Lasalle Straat,Oranjestad,Reduced,Land for Sale,"224,719",0,0,No,12.519741176484338,"-70.0267837906128
        ",https://remaxaruba.com/property/details/private-property-de-lasalle-straat
J.G. Emanstraat 78,Oranjestad,Under Contract,Residential for Sale,"220,000",6,2,No,12.520935177698078,"-70.03566190245209
        ",https://remaxaruba.com/property/details/J.G.%20Emanstraat%2078
Papilon 106-Z,Santa Cruz,Commercial,Residential for Sale,"216,500",3,3,No,12.509052524829324,"-69.9869637155777
        ",https://remaxaruba.com/property/details/papilon-106-z
Sabana Basora 171,Pos Chikito,,,"215,000",4,3,No,12.471257590667372,"-69.96310841952948
        ",https://remaxaruba.com/property/details/sabana-basora-171-2
Wariruri Condominiums,Noord,New Listing,Condominium for Sale,"198,800",1,1,Yes,12.589444816852174,"-70.03795250895082
        ",https://remaxaruba.com/property/details/wariruri-condominiums
Boton Property Land With Amazing Views,Santa Cruz,Reduced,Land for Sale,"185,955",0,0,No,12.496938883129253,"-69.96386989595948
        ",https://remaxaruba.com/property/details/boton-property-land
