name,location,property,price,bedrooms,bathrooms,Pool,link
Home at Ponton ,,"
Corner","USD 309,000", 394 m2, 695 m2,,https://homecityaruba.com//listings/Bushistraat1
Home at Pos Chikito ,,"
This","USD 308,000", 206 m2, 563 m2,,https://homecityaruba.com//listings/home-pos-chikito-2
Home in Nuñe ,,"
This","USD 300,000", 3, 463 m2,,https://homecityaruba.com//listings/home-nune
Savaneta 3156 m2 ,,"
Great","USD 290,000",,,,https://homecityaruba.com//listings/savaneta-3156-m2
Home at Picaron ,,"
Nice","USD 289,000", 203 m2, 700 m2,,https://homecityaruba.com//listings/home-picaron-2
Home in Noord ,,"
Sold!
This","USD 283,000", 175 m2, 550 m2,,https://homecityaruba.com//listings/Noord104D
Home at Noord ,,"
Sold!
Great","USD 283,000", 3, 620 m2,,https://homecityaruba.com//listings/home-noord
Home at Tanki Leendert ,,"
SOLD!
Great","USD 280,000", 171 m2, 352 m2,,https://homecityaruba.com//listings/home-tanki-leendert-3
Home at Tanki Leendert ,,"
Sold!
Great","USD 276,000", 3, 240 m2,,https://homecityaruba.com//listings/tanki-leendert-135-h
Home at Papilon ,,"
Sold!
Reduced","USD 275,000", 220 m2, 696 m2,,https://homecityaruba.com//listings/home-papilon
Paradera 171 ,,"
This","USD 270,000", 246 m2, 1.094 m2,,https://homecityaruba.com//listings/home-paradera-3
Home at Tanki Leendert ,,"
Great","USD 261,235", 177 m2, 383 m2,,https://homecityaruba.com//listings/home-tanki-leendert-5
Home at Ponton ,,"
This","USD 260,000", 207 m2, 185 m2,,https://homecityaruba.com//listings/home-ponton-3
Townhouse in Napa Valley ,,"
We","USD 258,000",,,,https://homecityaruba.com//listings/townhouse-napa-valley
Home at Sabana Blanco ,,"
Sold!
Nice","USD 250,000",,,,https://homecityaruba.com//listings/sabana-abao
Andicuri condos ,,"
Andicuri","USD 245,000", 2021, 60 m2,,https://homecityaruba.com//listings/andicuri-condos
House at Rooi Kochi ,,"
This","USD 240,000", 3, 600 m2,,https://homecityaruba.com//listings/rooikochi62G
Villa Paraiso ,,"
Villa","USD 240,000", 2, 2,,https://homecityaruba.com//listings/villa-paraiso-2
Paseo de Playa (TDS) 659 m2 ,,"
Sold!
The","USD 230,650", Short Drive, 659 m2,,https://homecityaruba.com//listings/paseodeplaya
Montaña Plaza 233 ,,"
Sold!
This","USD 230,000", 130 m2, 526 m2,,https://homecityaruba.com//listings/montana-plaza-233
Offices in Oranjestad ,,"
Sold!
Multi","USD 223,000",,,,https://homecityaruba.com//listings/offices-oranjestad
Home at Seroe Biento ,,"
Sold!
This","USD 222,000", 150 m2, 479 m2,,https://homecityaruba.com//listings/home-seroe-biento
Home at Picaron ,,"
Sold!
Living","USD 220,000", 228 m2, 995 m2,,https://homecityaruba.com//listings/home-picaron
Home at Papaya ,,"
Sold!
Brand","USD 217,000", 93 m2, 392 m2,,https://homecityaruba.com//listings/papaya
Home at Wayaca Residence ,,"
Sold!
You","USD 210,000", 180 m2, 581 m2,,https://homecityaruba.com//listings/wayaca-residence
Wariruri Condos ,,"
SOLD","USD 198,800", 2, 2,,https://homecityaruba.com//listings/wariruri-condos
Mabon 5,,"
This",B, 283 m2, 544 m2,,https://homecityaruba.com//listings/mabon-5-b
Fixer Upper in Pos Chiquito ,,"
Right","USD 195,000", 192 m2, 564 m2,,https://homecityaruba.com//listings/fixer-upper-pos-chiquito
Solarium lot 7 & 8 ,,"
Lot","USD 194,040",,,,https://homecityaruba.com//listings/land-bubali-solarium-lot-7-8
Isla Esmeralda ,,"
Sold!
Let","USD 194,000", 85 m2, 245 m2,,https://homecityaruba.com//listings/home-tanki-leendert-2
Home at Savaneta ,,"
Charming","USD 183,000", 131 m2, 386 m2,,https://homecityaruba.com//listings/home-savaneta-3
Paramira 47 ,,"
Sold!
Great","USD 175,000", 3, 323 m2,,https://homecityaruba.com//listings/paramira-47
Paramira 84 ,,"
Sold!
Great","USD 175,000", 4, 316 m2,,https://homecityaruba.com//listings/paramira-84
Home at Savaneta ,,"
MOTIVATED","USD 169,500", 116 m2, 320 m2,,https://homecityaruba.com//listings/home-savaneta-2
Home at Madiki ,,"
Sold!
This","USD 157,000", 121 m2, 641 m2,,https://homecityaruba.com//listings/madiki-52-h
Home at Hooiberg ,,"
Sold!
This","USD 140,000", 101 m2, 801 m2,,https://homecityaruba.com//listings/hooiberg-63
Apartment in Oranjestad ,,"
 COZY","USD 135,000", 68 m2, 70 m2,,https://homecityaruba.com//listings/apartment-oranjestad-2
Home at Pos Chiquito ,,"
MOTIVATED","USD 134,000", 222 m2, 360 m2,,https://homecityaruba.com//listings/home-pos-chiquito
Bubali Solarium Residence 11 ,,"
Lot","USD 129,000", Short Drive, 461 m2,,https://homecityaruba.com//listings/land-bubali-solarium-residence-11
Tazajal 15 ,,"
Tazajal","USD 125,000", 2, 2,,https://homecityaruba.com//listings/tazajal-15
Home and land at Santa Cruz ,,"
Sold!
Authentic","USD 120,000", 202 m2, 635 m2,,https://homecityaruba.com//listings/house-sta-cruz
Home at Oranjestad ,,"
Cozy","USD 120,000", 99 m2, 144 m2,,https://homecityaruba.com//listings/home-oranjestad-6
Seroe Blanco 438 m2 ,,"
Perfect","USD 112,360",,,,https://homecityaruba.com//listings/seroe-blanco-438-m2
Tazajal 9 ,,"
Sold!
Tazajal","USD 110,000", 2, 2,,https://homecityaruba.com//listings/home-tazajal
Home at Sabana Basora ,,"
Cozy","USD 108,571", 115 m2, 207 m2,,https://homecityaruba.com//listings/cozy-sabana-basora
Sabana Blanco Lot 4 (1203m2) ,,"
Perfectly","USD 104,000", Walking Distance, 1.203 m2,,https://homecityaruba.com//listings/sabana-blanco-lot-4-1203m2
Sabana Blanco Lot 3 (1203m2) ,,"
Perfectly","USD 104,000", Short Drive, 1.203 m2,,https://homecityaruba.com//listings/sabana-blanco-lot-3-1203m2
Bubali Solarium lot 7 ,,"
Lot","USD 100,240",,,,https://homecityaruba.com//listings/land-bubali-solarium-lot-7
Bubali Solarium Lot 8 ,,"
Lot","USD 93,800",,,,https://homecityaruba.com//listings/land-bubali-solarium-lot-8
Modanza 470 m2 ,,"
Sold!
Great","USD 83,650",,,,https://homecityaruba.com//listings/modanza-470-m2
Noord 392 m2 ,,"
Sold!
Great","USD 60,000",,,,https://homecityaruba.com//listings/noord-392-m2
Bubali 225 m2 ,,"
!ON","USD 59,000",,,,https://homecityaruba.com//listings/land-bubali-3
Office building in Eagle Area ,,"
Great","USD 21,500", 1.250 m2, 1.472 m2,,https://homecityaruba.com//listings/office-building-eagle-area
Offices Pos Chiquito ,,"
Rented!
Offices","USD 12,334",,,,https://homecityaruba.com//listings/offices-pos-chiquito
Warehouse Pos Chiquito ,,"
Great","USD 8,115", Walking Distance, 963 m2,,https://homecityaruba.com//listings/warehouse-pos-chiquito
Anabui Residence # 2 ,,"
Rented!
Welcome","USD 7,000", 230 m2, 230 m2,,https://homecityaruba.com//listings/anabui-residence-2-2
Warehouse at Barcadera ,,"
This","USD 5,600", 564 m2, 2.550 m2,,https://homecityaruba.com//listings/warehouse-barcadera-2
Home at Opal ,,"
Rented!
FOR","USD 4,000",,,,https://homecityaruba.com//listings/opal-133-2
Home at Tibushi ,,"
Rented!
FOR","USD 3,600",,,,https://homecityaruba.com//listings/tibushi-2
Cas Di Zoe ,,"
Property","USD 3,500",,,,https://homecityaruba.com//listings/cas-di-zoe
3 bedroom apartment in Oranjestad ,,"
This","USD 3,200", 3, 3,,https://homecityaruba.com//listings/luxury-3-bedroom-apartment-solito-oranjestad-noord
Condo at Tierra del Sol ,,"
Rented!
Available","USD 3,000", 2, 140 m2,,https://homecityaruba.com//listings/apartment-tierra-del-sol-2
Villa in Noord ,,"
RENTED!
FOR","USD 2,900", 2, 3,,https://homecityaruba.com//listings/villa-noord
Office space in Oranjestad ,,"
Are","USD 2,810", Short Drive, 150 m2,,https://homecityaruba.com//listings/office-space-oranjestad
