name,location,property_status,property_type,price,bedrooms,bathrooms,Pool,Latitude,Longitude,link
CASA Polack Residence Pro,Palma Real,New Listing,"
                                    Longterm Rentals
                                ","2,600",,,,,,https://aruba-realty.com/property/details/casa-polack-residence-pro
Casa Siribana,St Cruz,Rented,"
                                    Longterm Rentals
                                ","2,600",5,3,Pool,12.518798540683358,"-69.97816070559082
                ",https://aruba-realty.com/property/details/casa-siribana-2
CASA Landslake # F4,North Rooi Santo 12,Rented,"
                                    Longterm Rentals
                                ","2,250",2,1,Pool,12.586450127142866,"-70.03607496264038
                ",https://aruba-realty.com/property/details/casa-landslake-superior
CASA Sero Preto,Oranjestad Sero Preto,Rented,"
                                    Longterm Rentals
                                ","1,950",4,3.5,Pool,12.525961094488444,"-70.00411519018115
                ",https://aruba-realty.com/property/details/casa-sero-preto
CASA Landslake Condo's F1,North Rooi Santo 12 aruba,New Listing,"
                                    Longterm Rentals
                                ","1,800",2,1,Pool,12.585751,"-70.03786699999999
                ",https://aruba-realty.com/property/details/casa-landslake-condos-f1-2-3
CASA Salina Cerca Grandi,North Bakval,Rented,"
                                    Longterm Rentals
                                ","1,750",4,3,Airconditioned,12.580033477803862,"-70.03923385078735
                ",https://aruba-realty.com/property/details/casa-salina-cerca-grandi-2
CASA Crystal Garden,Sero Crystal,Rented,"
                                    Longterm Rentals
                                ","1,680",3,2,Airconditioned,12.542845165724888,"-69.99592765810547
                ",https://aruba-realty.com/property/details/crystalgarden
CASA Sunshine Malmok,Noord Malmokweg 23,Rented,"
                                    Longterm Rentals
                                ","1,680",3,2,Airconditioned,12.600868294621806,"-70.04619225504456
                ",https://aruba-realty.com/property/details/casa-sunshine
CASA Landslake Condo's F3,North Roois Santo,Rented,"
                                    Longterm Rentals
                                ","1,650",2,1,Pool,12.586156938859485,"-70.0360964203125
                ",https://aruba-realty.com/property/details/casa-landslake-condos-f-2
CASA Sheer,Seroe Blanco,Rented,"
                                    Longterm Rentals
                                ","1,600",,,,,,https://aruba-realty.com/property/details/casa-sheer
CASA Sunny Side,Rooi Afo,Rented,"
                                    Longterm Rentals
                                ","1,573",,,,,,https://aruba-realty.com/property/details/casa-sunny-side
