name,location,property,price,bedrooms,bathrooms,Pool,link
Ocean View Pent House at Blue PH1-2 ,": J.E. Irausquin Blvd 266, Noord, Aruba, Eagle Beach",Condominium for sale," 1,223,550 ",3,4,,https://www.mpgaruba.com/property/condominium-418-ocean-view-pent-house-at-blue-ph1-2
Villa Malmok. A Walk to Arashi Beach! ,"Malmok 35, Malmok",Residential for sale," 1,250,000 ",5,4,,https://www.mpgaruba.com/property/residential-24-villa-malmok-a-walk-to-arashi-beach
Morgenster apartments ,"Morgenster, Hooiberg",Commercial for sale," 1,250,000 ",5,,,https://www.mpgaruba.com/property/commercial-332-morgenster-apartments
Contemporary Hill House Calabas ,", Noord",Residential for sale," 1,275,000 ",3,3,,https://www.mpgaruba.com/property/residential-355-contemporary-hill-house-calabas
Two Story Luxury Villa with Ocean Views! ,"Alto Vista 37B, Alto Vista",Residential for sale," 1,300,000 ",4,5,,https://www.mpgaruba.com/property/residential-292-two-story-luxury-villa-with-ocean-views
Villa Azul Aruba ,"Opal, Rooi Santo",Residential for sale," 1,399,000 ",5,5,,https://www.mpgaruba.com/property/residential-339-villa-azul-aruba
Seven Apartments a Walk to the Beach. ,"Palm BEach 408, Palm Beach",Residential for sale," 1,400,000 ",8,8,,https://www.mpgaruba.com/property/residential-363-seven-apartments-a-walk-to-the-beach
Seven Apartments a Walk to the Beach. ,"Palm Beach 408, Palm Beach",Commercial for sale," 1,400,000 ",8,8,,https://www.mpgaruba.com/property/commercial-364-seven-apartments-a-walk-to-the-beach
Villa Opal 125 ,"Opal 125, Noord",Residential for sale," 1,440,000 ",4,5,,https://www.mpgaruba.com/property/residential-377-villa-opal-125
Penthouse Harbour house ,", Oranjestad",Condominium for sale," 1,490,000 ",3,4,,https://www.mpgaruba.com/property/condominium-389-penthouse-harbour-house
Magnificent 2 Story Estate with Ocean View! ,"Boegeroei 103, Boegeroei",Residential for sale," 1,495,000 ",7,6,,https://www.mpgaruba.com/property/residential-192-magnificent-2-story-estate-with-ocean-view
Exquisite Villa! ,"Salina Cerca 25, Salina Cerca",Residential for sale," 1,500,000 ",4,5,,https://www.mpgaruba.com/property/residential-25-exquisite-villa
Mahuma Property Land ,"Mahuma, Oranjestad",Property Land for sale," 1,600,000 ","16,000 m2",Property land,,https://www.mpgaruba.com/property/property-land-145-mahuma-property-land
Magnificent Ocean View Pent House Azure PH1-1 ,"J.E Irausquin Blvd 226, Eagle Beach",Condominium for sale," 1,600,000 ",5,5.5,,https://www.mpgaruba.com/property/condominium-212-magnificent-ocean-view-pent-house-azure-ph1-1
Ocean View Commercial Building! ,"L.G Smith Boulevard  # 12, Oranjestad",Commercial for sale," 1,800,000 ",4,"1,106 m2",,https://www.mpgaruba.com/property/commercial-305-ocean-view-commercial-building
A House with 13 Apartments! ,"Buena Vista 2A, Oranjestad",Commercial for sale," 1,836,000 ",24,16,,https://www.mpgaruba.com/property/commercial-248-a-house-with-13-apartments
Ocean Front Two Story Town House at Blue Residences! ,"Blue Residences J.E Irasquin Blvd 266, Eagle Beach",Condominium for sale," 1,850,000 ",5,6,,https://www.mpgaruba.com/property/condominium-257-ocean-front-two-story-town-house-at-blue-residences
WARIRURI COUNTRY SIDE BOUTIQUE RESORT ,"Jaburibari Hills, All",Residential for sale," 1,950,000 ",5,,,https://www.mpgaruba.com/property/residential-384-wariruri-country-side-boutique-resort
Pepia Est ,"Schotland straat, Eagle Beach",Commercial for sale," 2,134,500 ",5,,,https://www.mpgaruba.com/property/commercial-298-pepia-est
Estate & Commercial Building For Sale in Excellent Location. ,"Belgïestraat 5B, Oranjestad",Commercial for sale," 2,500,000 ","1,698 m2",630 m2,,https://www.mpgaruba.com/property/commercial-209-estate-commercial-building-for-sale-in-excellent-location
Two Commercial Properties Ocean View on the Main Road of LG Smith Boulevard. ,"L.G Smith Boulevard #12 -14, Oranjestad",Commercial for sale," 2,600,000 ","2,095 m2","1,623 m2",,https://www.mpgaruba.com/property/commercial-176-two-commercial-properties-ocean-view-on-the-main-road-of-lg-smith-boulevard
Villa Malmok Across from the Beach! ,"Malmokweg 1, Malmok",Residential for sale," 2,900,000 ",6,5,,https://www.mpgaruba.com/property/residential-388-villa-malmok-across-from-the-beach
Villa Malmok Aruba ,"Malmok 46, Malmok",Residential for sale," 3,000,000 ",4,5,,https://www.mpgaruba.com/property/residential-151-villa-malmok-aruba
LUXURY PENTHOUSE AT LEVENT ,"J.E. IRAUSQUIN BOULEVARD, Eagle Beach",Condominium for sale," 3,000,000 ",7,7,,https://www.mpgaruba.com/property/condominium-311-luxury-penthouse-at-levent
MOKO 30 APARTMENTS - NIGHTCLUB - BAR ,"MOK0 30, Tanki Leendert",Commercial for sale," 4,168,540 ",21,"3,124 m2",,https://www.mpgaruba.com/property/commercial-414-moko-30-apartments-nightclub-bar
Luxury Ocean Front Hotel! ,"LG Smith Boulevard 526, Malmok",Commercial for sale," 9,500,000 ",13,17,,https://www.mpgaruba.com/property/commercial-77-luxury-ocean-front-hotel
Brand New Malmok Villa For Rent ,"Noord, Aruba, Malmok",Residential for rent, 0 ,4,3,,https://www.mpgaruba.com/property/residential-404-brand-new-malmok-villa-for-rent
One Bedroom Apartment! ,"Scopet Straat, Ponton",Residential for rent, 900 ,1,1,,https://www.mpgaruba.com/property/residential-78-one-bedroom-apartment
Two Bedroom Apartment Walking Distance to the Beach! ,"Beatrix Straat 52, Oranjestad",Residential for rent," 1,200 ",2,2,,https://www.mpgaruba.com/property/residential-395-two-bedroom-apartment-walking-distance-to-the-beach
Offices For Rent Oranjestad ,"L.G. Smith Boulevard, Oranjestad",Commercial for rent," 1,250 ",2,,,https://www.mpgaruba.com/property/commercial-291-offices-for-rent-oranjestad
Nice Home in Noord for Rent! ,"Montana 64D, Noord",Residential for rent," 1,350 ",3,2,,https://www.mpgaruba.com/property/residential-244-nice-home-in-noord-for-rent
Office Space for Rent in Prime Location! ,"LG Smith Boulevard 14, Oranjestad",Commercial for rent," 1,500 ",3,,,https://www.mpgaruba.com/property/commercial-354-office-space-for-rent-in-prime-location
Beach Apartment! ,"LG Smith Boulevard # 14, Oranjestad",Residential for rent," 1,800 ",3,2,,https://www.mpgaruba.com/property/residential-136-beach-apartment
Beautiful Villa For Rent! ,"Emmastraat 69, Oranjestad",Residential for rent," 1,800 ",3,2.5,,https://www.mpgaruba.com/property/residential-359-beautiful-villa-for-rent
Gold Coast 11 Town House ,"Malmok, Malmok",Residential for rent," 2,000 ",2,3,,https://www.mpgaruba.com/property/residential-184-gold-coast-11-town-house
Office Space in a Prime Location! ,"LG Smith Boulevard #14, Oranjestad",Commercial for rent," 2,000 ",3,1,,https://www.mpgaruba.com/property/commercial-353-office-space-in-a-prime-location
