index,name,price,location,property_status,property_type,bedrooms,bathrooms,Pool,link
204,Matadera 3 - E,SOLD,Matadera,,Residential,8,9,Pool,https://century21aruba.com//en/d/matadera-3-e-home-for-sale-aruba-1147163
206,Sabana Liber 223,"US$ 675,000",Sabana,Pending Offers,Residential,4,2&half,Inland,https://century21aruba.com//en/d/sabana-liber-223-home-for-sale-aruba-1148863
208,Porta Al Sole Townhomes,"US$ 685,000",Bakval,New Listing,Residential,3,2,Inland,https://century21aruba.com//en/d/porta-al-sole-townhomes-home-for-sale-aruba-1149502
210,Diamante 175,"US$ 700,000",Westpunt,Under Contract,Residential,4,4,Pool,https://century21aruba.com//en/d/diamante-175-home-for-sale-aruba-1147769
212,Las Campeonas - Tierra Del Sol,"US$ 700,000",Westpunt,,Residential,4,4,Pool,https://century21aruba.com//en/d/las-campeonas-tierra-del-sol-home-for-sale-aruba-1150097
214,Tebenki 17,SOLD,Washington,,Residential,4,4,Inland,https://century21aruba.com//en/d/tebenki-17-home-for-sale-aruba-1149118
216,Azure Beach Residences Villa # 1,SOLD,Washington,,Residential,4,4,Inland,https://century21aruba.com//en/d/azure-beach-residences-villa-1-home-for-sale-aruba-1149486
218,Esmeralda 82,SOLD,Westpunt,,Residential,5,4,Inland,https://century21aruba.com//en/d/esmeralda-82-home-for-sale-aruba-1149065
220,Tuscany Villa 14,SOLD,Westpunt,,Residential,5,4,Inland,https://century21aruba.com//en/d/tuscany-villa-14-home-for-sale-aruba-1144690
222,Mesa Vista 8,SOLD,Westpunt,,Residential,5,4,Inland,https://century21aruba.com//en/d/mesa-vista-8-home-for-sale-aruba-1148794
224,Koyari 23,SOLD,Koyari,,Residential,4,3,Pool,https://century21aruba.com//en/d/koyari-23-home-for-sale-aruba-1144695
226,Bubali 115 - D,SOLD,Koyari,,Residential,4,3,Pool,https://century21aruba.com//en/d/bubali-115-d-home-for-sale-aruba-1147981
233,Dominicanessenstraat 2,"US$ 140,450",Koyari,,Residential,4,3,Pool,https://century21aruba.com//en/d/dominicanessenstraat-2-cbo-for-sale-aruba-1148151
236,B. Van De Veen Zeppenfeldtstraat 81,"US$ 278,090",Koyari,New Listing,Residential,4,3,Pool,https://century21aruba.com//en/d/b-van-de-veen-zeppenfeldtstraat-81-cbo-for-sale-aruba-1149758
238,Little Palm Apartments,"US$ 278,090",Koyari,,Residential,4,3,Pool,https://century21aruba.com//en/d/little-palm-apartments-comm-res-for-sale-aruba-1147423
242,Hubadastraat 20,"US$ 360,000",Koyari,,Residential,4,3,Pool,https://century21aruba.com//en/d/hubadastraat-20-cbo-for-sale-aruba-1144708
244,Windstraat 32,"US$ 360,000",Koyari,,Residential,4,3,Pool,https://century21aruba.com//en/d/windstraat-32-bve-for-sale-aruba-1145124
246,Bernhardstraat 130,"US$ 360,000",Koyari,,Residential,4,3,Pool,https://century21aruba.com//en/d/bernhardstraat-130-comm-bui-land-for-sale-aruba-1148196
248,Caya Betico Croes 52,"US$ 360,000",Koyari,,Residential,4,3,Pool,https://century21aruba.com//en/d/caya-betico-croes-52-cbo-for-sale-aruba-1144864
250,Caya Betico Croes 78,"US$ 360,000",Koyari,,Residential,4,3,Pool,https://century21aruba.com//en/d/caya-betico-croes-78-cbo-for-sale-aruba-1144713
252,Beatrixstraat 38,"US$ 360,000",Koyari,,Residential,4,3,Pool,https://century21aruba.com//en/d/beatrixstraat-38-cbo-for-sale-aruba-1148041
254,Piedra Plat 104 - B,"US$ 856,742",Koyari,Motivated Seller,Residential,4,3,Pool,https://century21aruba.com//en/d/piedra-plat-104-b-for-sale-aruba-1146963
256,Cura Cabai 143,"US$ 856,742",Koyari,,Residential,4,3,Pool,https://century21aruba.com//en/d/cura-cabai-143-comm-bui-land-for-sale-aruba-1149237
258,Weststraat,"US$ 856,742",Koyari,,Residential,4,3,Pool,https://century21aruba.com//en/d/weststraat-cbo-for-sale-aruba-1147823
261,Nature Deluxe Studio Apt.,RENTED,Sabana,,Residential,1,1,Garden,https://century21aruba.com//en/d/nature-deluxe-studio-apt-condo-for-rent-aruba-1149579
263,Cunucu Villas Apartments,RENTED,Sabana,,Residential,1,1,Garden,https://century21aruba.com//en/d/cunucu-villas-apartments-condo-for-rent-aruba-1147209
