Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Lucien Foucauld 1847 Cognac,70,40,"7,500",Cognac
Mercier Roger 1875 Cognac,70,40,"4,500",Cognac
Denis-Mounié 1914 Cognac,75,40,"1,500",Cognac
Courvoisier 3 Star Luxe Cognac,68,40,175,Cognac
Courvoisier 3 Stars Cognac,75,40,399,Cognac
Courvoisier 3 Stars Cognac,70,40,399,Cognac
Hine Triomphe Cognac Decanter,70,40,525,Cognac
Louis Royer VS Cognac,70,40,33.45,Cognac
Hardy d'Albatre Cognac,70,40,"2,750",Cognac
Delamain Le Très Vénéré Cognac de Grande Champagne,70,40,360,Cognac
Adet 1887 Cognac,75,40,"4,500",Cognac
Hennessy Ellipse Cognac,70,43.5,"12,500",Cognac
Remy Martin VSOP Cognac,75,40,299,Cognac
Hine 1834 Cognac,75,40,"7,500",Cognac
Berry Bros 1904 Cognac,68,40,"1,200",Cognac
Prunier Grande Fine Champagne,68,40,299,Cognac
Calvet 1928 Cognac,75,40.2,850,Cognac
Davidoff XO Cognac,70,40,150,Cognac
Remy Martin Louis XIII Jeroboam,300,40,"24,000",Cognac
Merlet Brothers Blend Cognac,70,40,42.95,Cognac
Bisquit Dubouche 1878 Cognac,75,40,"5,000",Cognac
Remy Martin VSOP Cognac,70,40,299,Cognac
L Ducasse & Co 1908 Cognac,75,40,"2,500",Cognac
Croizet 1928 Cognac,75,40,750,Cognac
Richard Hennessy Cognac,70,40,"4,000",Cognac
AE Dor Cigar Cognac,20,42,42.95,Cognac
Bisquit Dubouche 1922 Cognac,70,40,"1,000",Cognac
Martell VS 3 Stars Cognac,68,40,150,Cognac
Augier Freres 1878 Cognac,70,43,"5,000",Cognac
Chateau de Beaulon XO Collection Cognac,50,40,150,Cognac
AE Dor Selection VS Cognac,70,40,41.45,Cognac
Frapin Extra Cognac,70,40,510,Cognac
Domaine Le Reviseur VS Petite Champagne Cognac,70,40,40.75,Cognac
AE Dor No.11 Cognac,70,43,"1,550",Cognac
AE Dor No.10 Cognac,70,41.5,"1,225",Cognac
AE Dor Cognac for Cigar,70,42,110,Cognac
AE Dor XO Fine Champagne Cognac,70,40,110,Cognac
AE Dor Napoleon Cognac,70,40,75.45,Cognac
Martell VS 3 Stars Cognac,68,40,150,Cognac
Chateau de Beaulon XO Premier Cognac,70,40,74.95,Cognac
Hine 1978 Vintage Cognac,70,40,"1,100",Cognac
