Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Castellare di Castellina Vin Santo 2015,37.5,15,32.95,Wine & Champagne
Leeuwenkuil Shiraz 2018,75,13.5,9.95,Wine & Champagne
Bosman Grenache Noir 2020,75,14,9.75,Wine & Champagne
St Joseph 'Luc' Christian & Martine Rouchier 2017,75,14,34.95,Wine & Champagne
Dominio de Fontana Tempranillo Syrah Roble 2019,75,14,9.95,Wine & Champagne
Vinvita Pinot Grigio 2020,75,12,8.25,Wine & Champagne
Morgado do Quintao Clarete 2019,75,13,23.95,Wine & Champagne
Diren Collection Okuzgozu 2019,75,13.5,9.95,Wine & Champagne
Irouleguy Domaine Bordaxuria 2017,75,13,27.95,Wine & Champagne
Rivale Pinot Nero 2019,75,12.5,32.95,Wine & Champagne
A'Vita Leuko Orange wine 2020,75,11.5,24.75,Wine & Champagne
A'Vita Rosato 2019,75,12,23.95,Wine & Champagne
Predappio Sangiovese Chiara Condello 2018,75,14,21.25,Wine & Champagne
Godello Ultreia Bierzo Raul Perez 2019,75,13.5,20.75,Wine & Champagne
Castello di Neive Barbaresco 2017,75,14.5,37.45,Wine & Champagne
Bukkuram Sole D'Agosto 2019,75,14,56.95,Wine & Champagne
Miraval Rose 2020,75,13,22.95,Wine & Champagne
Barolo Azelia Luigi Scavino 2014,75,14,35.95,Wine & Champagne
The Age of Grace Viognier 2019,75,13.5,22.95,Wine & Champagne
Vosne Romanee Confuron-Gindre 2017,75,13,54.95,Wine & Champagne
Barolo Cannubi Riserva 2015,75,14,125,Wine & Champagne
Niepoort Concisco Branco 2016,75,11.5,24.95,Wine & Champagne
Edi Simcic Rebula 2018,75,13,26.75,Wine & Champagne
Pyramid Valley North Canterbury Pinot Noir 2018,75,13,30.95,Wine & Champagne
Sin Roble Malbec De Angeles 2017,75,14.5,29.95,Wine & Champagne
Castello di Ama L'Apparita Merlot 2017,75,13.5,185,Wine & Champagne
Garzon Tannat 2019,75,14,17.95,Wine & Champagne
La Bota De Florpower 99 'Antes de la Flor' 2019,75,11.5,26.95,Wine & Champagne
Carinena Rojo Kalius 22 Bodegas Monfil 2019,75,13,7.95,Wine & Champagne
Amarone Della Valpolicella Classico 2016,75,15.5,45.95,Wine & Champagne
Kracher Eiswein 2018,37.5,9.5,45.95,Wine & Champagne
Zephyr Gewurztraminer 2020,75,14,17.25,Wine & Champagne
Barolo Serralunga d'Alba 2016,75,14.5,37.95,Wine & Champagne
Castello di Potentino Sangiovese Sacromonte 2011,75,14,15.95,Wine & Champagne
Gewurztraminer Turkheim 2018,75,13,20.95,Wine & Champagne
It'll be All White On The Night Wine Case,900,12.3,99.95,Wine & Champagne
Benegas Single Vineyard Sangiovese 2015,75,14,22.95,Wine & Champagne
Muscadet Clos Armand 2018,75,12,16.25,Wine & Champagne
Lorca Recoleta Malbec 2018,150,13.5,19.95,Wine & Champagne
Savennieres Chamboureau 2016,75,13.5,26.95,Wine & Champagne
Cuvaison Pinot Noir 2017,75,14,30.25,Wine & Champagne
Pretty In Pink Wine Case,450,12.1,54.95,Wine & Champagne
Easy Drinking Reds Wine Case,450,13.7,62.95,Wine & Champagne
The Juice Asylum 2020,75,12.5,17.95,Wine & Champagne
Vina Ilusion Rioja Joven 2020,75,13.5,11.45,Wine & Champagne
Time Waits For No One 2020,75,14,12.75,Wine & Champagne
Bodegas Naia 2020,75,13.5,14.95,Wine & Champagne
Chateau du Champ des Treilles Le Petit Champ 2019,75,14,17.95,Wine & Champagne
Pretty Gorgeous Rose 2020,75,12,10.75,Wine & Champagne
Vina Ventolera Pinot Noir Litoral 2018,75,14,16.25,Wine & Champagne
Pago de Tharsys Bobal 2019,75,12,8.25,Wine & Champagne
Clos du Jaugueyron Margaux 2014,75,13,67.95,Wine & Champagne
Syrah Grenache Grange des Rocs 2019,75,12.5,8.75,Wine & Champagne
Jasper Hill Georgia's Paddock Shiraz 2017,75,15,49.95,Wine & Champagne
Soalheiro Alvarinho 2021,75,11,17.95,Wine & Champagne
Dolcetto d'Alba Roussot 2021,75,13.5,15.95,Wine & Champagne
De la Berangeraie Cuvee Juline Cahors 2016,75,14,17.95,Wine & Champagne
GD Vajra Barbera d'Alba 2020,75,15,21.95,Wine & Champagne
Gasper Pinot Grigio 2021,75,13.5,14.25,Wine & Champagne
Priorat Loidana Marco Abella 2019,75,14.5,18.95,Wine & Champagne
Saturnino Cantalpiedra Rueda Verdejo 2020,75,13.5,13.95,Wine & Champagne
Gruner Veltliner Terrassen Smaragd 2020,75,13,20.95,Wine & Champagne
Moulin de Gassac Classic Rouge Mas de Daumas 2020,75,13,8.95,Wine & Champagne
Bergerie de la Bastide Rouge 2020,75,13,8.25,Wine & Champagne
AA Badenhorst Curator Rose 2020,100,12.5,14.95,Wine & Champagne
Cereza Cara Sucia Durigutti 2019,75,12.7,11.95,Wine & Champagne
Natural Mystic Vinho Verde 2020,75,11.5,13.25,Wine & Champagne
Pinot Gris Le Coq Domaine Leon Boesch 2019,75,13,21.75,Wine & Champagne
Normanno Ciello Rosso 2020,75,12.5,8.45,Wine & Champagne
Willunga 100 Grenache Rose 2021,75,12.5,13.95,Wine & Champagne
Bat Gara Txacoli Uno 2019,75,14,13.95,Wine & Champagne
Mullineux Signature Swartland Syrah 2017,75,14.5,26.95,Wine & Champagne
Donnafugata Ben Rye Passito di Pantelleria 2020,37.5,14.5,42.95,Wine & Champagne
Vinos Más Buscados Te Queiro White Field Blend 2021,75,12,8.75,Wine & Champagne
Ver Sacrum Geisha Dragon del Desierto 2021,75,12.5,19.95,Wine & Champagne
Thierry Mortet Gevrey Chambertin 2017,75,13,45.95,Wine & Champagne
Tavel La Combe des Rieu Moulin de la Viguerie 2020,75,14.5,26.95,Wine & Champagne
Alsace Schieferberg Zero Domaine Bohn 2020,75,13,27.75,Wine & Champagne
Alsace Pinot Noir Par Nathur Domaine Bohn 2020,75,13,27.95,Wine & Champagne
Savennieres Chamboureau 2017,75,13.5,26.95,Wine & Champagne
Vinvita Trebbiano 2020,75,12,7.25,Wine & Champagne
Andrian Pinot Grigio 2021,75,13.5,15.25,Wine & Champagne
Niepoort Nat'Cool Drink Me Baga 2021,100,11,19.95,Wine & Champagne
Lorca Lorca Malbec 2021,75,13,10.75,Wine & Champagne
