Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Champagne Paul Bara Brut Reserve NV,37.5,12.5,23.95,Wine & Champagne
Champagne Paul Bara Brut Reserve NV,150,12.5,79.95,Wine & Champagne
Champagne Paul Bara Brut Reserve NV,75,12.5,38.95,Wine & Champagne
Champagne Paul Bara Grand Rose de Bouzy NV,150,12.5,89.95,Wine & Champagne
Roebuck Estates Classic Cuvee 2014,75,12,36.95,Wine & Champagne
Roebuck Estates Blanc de Noirs 2015,75,12,43.95,Wine & Champagne
Roebuck Estates Rose de Noirs 2016,75,12,39.95,Wine & Champagne
Bruno Paillard Brut Vintage Assemblage 2012 Champagne,75,12,72.95,Wine & Champagne
Moet & Chandon Brut Imperial NV,37.5,12,25.95,Wine & Champagne
Ancre Hill Estate Blanc de Noirs Sparkling Wine,75,11,39.95,Wine & Champagne
Roger Coulon Les Hauts Partas Blanc de Blancs Grand Cru 2014 Champagne,75,12,92.75,Wine & Champagne
Frederic Savart Les Pinot V15.16 Extra Brut NV Champagne,75,12.5,115,Wine & Champagne
Mumm 6 Champagne,75,12,41.95,Wine & Champagne
Smith & Evans Sparkling Wine 2016,75,12,31.75,Wine & Champagne
Andre Jacquart Le Mesnil Grand Cru Blanc de Blancs 2011,75,12.5,99.95,Wine & Champagne
Armand de Brignac Ace of Spades Brut Rose Champagne,150,12.5,870,Wine & Champagne
Armand de Brignac Ace of Spades Brut Rose Champagne,75,12.5,399,Wine & Champagne
Agrapart & Fils Venus Grand Cru 2015 Brut Nature Champagne,75,12.5,195,Wine & Champagne
Furleigh Estate Classic Cuvée Brut 2017,75,12,31.95,Wine & Champagne
Ca' Del Bosco Franciacorta Saten 2016,75,12.5,59.95,Wine & Champagne
Champagne Rive Gauche Extra Brut Bereche & Fils 2017,75,12.5,73.25,Wine & Champagne
Veuve Clicquot La Grande Dame 2012 Champagne,75,12.5,163,Wine & Champagne
Sugrue Zodo Multi Vintage,75,12,61.95,Wine & Champagne
Sugrue Brut Cuvee Boz 2015,75,12,61.95,Wine & Champagne
Billecart-Salmon Cuvee Louis 2007 Blanc de Blancs Champagne,75,12.5,150,Wine & Champagne
Perrier-Jouët Belle Epoque Rose 2010,150,12.5,500,Wine & Champagne
Perrier-Jouët Belle Epoque Rosé 2012,75,12.5,250,Wine & Champagne
Bereche & Fils Les Beaux Regards 1er Cru Extra Brut 2017,75,12.5,84.95,Wine & Champagne
Clandestin Les Grandes Lignes 2017 Champagne,75,12,69.95,Wine & Champagne
Rare Rosé 2007 Champagne,75,12,295,Wine & Champagne
Rare 1998 Champagne,150,12,399,Wine & Champagne
Champagne Deutz Brut 2014,75,12,59.95,Wine & Champagne
Rare 2008 Champagne,75,12,199,Wine & Champagne
Devaux D Millesimé 2009 Champagne,75,12,69.95,Wine & Champagne
Charles Heidsieck Blanc des Millenaires 2006 Champagne,75,12,160,Wine & Champagne
Jacquesson Avize Champ Cain 2009 Champagne,75,12.5,190,Wine & Champagne
Jacquesson Dizy Corne Bautray 2009 Champagne,75,12.5,190,Wine & Champagne
Jacquesson Cuvee 739 Dégorgement Tardif Champagne,75,12.5,105,Wine & Champagne
Drappier Clarevallis NV Champagne,75,12,51.25,Wine & Champagne
Ayala Perle Grand Cru 2012 Champagne,75,12,105,Wine & Champagne
Louis Roederer Brut Nature Rose Vintage 2012,75,12,81.95,Wine & Champagne
Louis Roederer 2014 Blanc de Blancs Champagne,75,12,90.95,Wine & Champagne
Jacques Lassaigne Le Cotet Blanc de Blancs Champagne,75,12,84.95,Wine & Champagne
Champagne Vadin-Plateau Terre de Moines 2015 Cumieres 1er Cru,75,12,59.95,Wine & Champagne
Valentin Leflaive Extra Brut Blanc de Blancs CV1540 NV,75,12.5,49.95,Wine & Champagne
Palmer & Co Blanc de Noirs Champagne,75,12,55.45,Wine & Champagne
AR Lenoble 2013 Blanc de Noirs Champagne,75,12,64.95,Wine & Champagne
Gosset Celebris Rose Brut 2008,75,12,165,Wine & Champagne
Adami Prosecco DOCG Col Fondo 2020,75,11,19.95,Wine & Champagne
Ferghettina Franciacorta Saten,37.5,12.5,20.75,Wine & Champagne
Champagne Dumangin J Fils 2009,75,12,59.95,Wine & Champagne
Gusbourne Brut Reserve 2018,75,12,38.75,Wine & Champagne
Champagne Deutz Rose NV,75,12,51.95,Wine & Champagne
Pojer e Sandri Zero Infinito 2020,75,12,24.95,Wine & Champagne
Recaredo Brut Nature Terrers Gran Reserva 2017,75,12,27.95,Wine & Champagne
Col Vetoraz Prosecco Valdobbiadene Superiore Di Cartizze Dry DOCG 2020,75,11.5,29.75,Wine & Champagne
Bride Valley Rose Bella 2018,75,11.5,34.95,Wine & Champagne
Champagne Delavenne Brut Rose NV,75,12.5,42.95,Wine & Champagne
Champagne Delavenne Brut Nature NV,75,12.5,39.95,Wine & Champagne
Champagne Delavenne Brut Reserve NV,150,12.5,82.95,Wine & Champagne
Champagne Delavenne Brut Reserve NV,37.5,12.5,23.95,Wine & Champagne
Lamiable Eclat d'Etoiles Rose Grand Cru NV Extra Brut,75,12.5,39.95,Wine & Champagne
Palmer & Co Vintage 2012 Champagne,75,12,58.75,Wine & Champagne
Palmer & Co Blanc de Blancs Champagne,75,12,49.95,Wine & Champagne
Palmer & Co Rose Solera Champagne,75,12,45.95,Wine & Champagne
Louis Roederer Collection 242 Champagne,37.5,12,30.95,Wine & Champagne
Champagne Telmont Brut Reserve NV,75,12,41.75,Wine & Champagne
Laherte Freres Les Empreintes Extra Brut 2014 Champagne,75,12,69.95,Wine & Champagne
Black Elephant Method Cap Classique Brut Zero,75,12.5,24.95,Wine & Champagne
Agrapart & Fils Mineral Grand Cru 2015 Champagne,75,12.5,99.95,Wine & Champagne
Philipponnat Blanc de Noirs 2014 Vintage,75,12,58.95,Wine & Champagne
Champagne Valentin Leflaive Brut Rose MA1660 NV,75,12.5,54.95,Wine & Champagne
Champagne Valentin Leflaive Avize 1540 BdB NV,75,12.5,62.95,Wine & Champagne
Champagne Valentin Leflaive Le Mesnil Sur Oger 1550 BdB NV,75,12.5,64.95,Wine & Champagne
Charles Heidsieck BdB 'Where Chefs Picnic' Hamper,75,12,225,Wine & Champagne
Bollinger PNVZ16 Champagne,75,12.5,94.95,Wine & Champagne
Champagne Deutz Brut Rose 2013 Champagne,75,12,64.95,Wine & Champagne
Henri Giraud Fut de Chene MV16 Champagne,75,12,140,Wine & Champagne
Dom Ruinart Rosé 2007 Champagne,75,12.5,255,Wine & Champagne
Moët & Chandon 2013 Grand Rose Champagne,75,12.5,67.95,Wine & Champagne
Larmandier-Bernier Terre de Vertus 2014 Champagne,75,12.5,67.95,Wine & Champagne
Exton Park RB32 Brut Sparkling Wine,75,11.5,42.75,Wine & Champagne
Cottonworth Classic Cuvee,75,12,31.25,Wine & Champagne
Pierre Paillard Les Mottelettes Blanc de Blanc Bouzy Grand Cru 2014,75,12.5,62.95,Wine & Champagne
Billecart-Salmon Elisabeth Salmon Rose 2008 Champagne,75,12.5,188,Wine & Champagne
Laherte Extra Brut Vignes d’Autrefois 2016 Champagne,75,12.5,67.75,Wine & Champagne
L'Ormarins Method Cap Classique Rose NV,75,12.5,17.75,Wine & Champagne
Malibran Credamora Col Fondo 2018,75,11,22.25,Wine & Champagne
Rare Rose 2008 Champagne,75,12,299,Wine & Champagne
Henri Giraud Argonne Grand Cru 2012,75,12,395,Wine & Champagne
Frerejean Freres Rose NV Champagne,75,12.5,69.95,Wine & Champagne
Pol Roger Winston Churchill 2012,75,12.5,230,Wine & Champagne
Hattingley Valley Blanc de Blancs 2014,75,12,44.95,Wine & Champagne
Louis Roederer Rose Vintage 2014,37.5,12,35.95,Wine & Champagne
Piper Heidsieck Essentiel Cuvee Reservee Extra Brut Champagne,75,12,43.95,Wine & Champagne
Taittinger Prelude Grand Cru Champagne,150,12.5,120,Wine & Champagne
Bruno Michel Assemblee Brut NV Champagne,75,12.5,39.75,Wine & Champagne
Joseph Perrier Cuvee Royal Brut NV Champagne,37.5,12,22.95,Wine & Champagne
Joseph Perrier Cuvee Royal Brut NV Champagne,20,12,13.95,Wine & Champagne
Pierre Moncuit Grand Cru Extra Brut Mesnil 2008 Vintage Champagne,75,12,63.95,Wine & Champagne
Pierre Moncuit Cuvee Blanc de Blancs Grand Cru Champagne,75,12,40.95,Wine & Champagne
Louis Roederer Cristal 2013 Rosé Champagne,75,12,550,Wine & Champagne
Champagne A. Levasseur Rue du Sorbier Brut NV,75,12.5,41.75,Wine & Champagne
Charles Heidsieck Rose Reserve,37.5,12,36.95,Wine & Champagne
Bolney Cuvee Rose 2018,75,12.5,35.95,Wine & Champagne
Champagne De Sousa Cuvee des Caudalies Rose Brut Champagne,75,12.5,84.95,Wine & Champagne
Champagne De Sousa Cuvee des CaudaliesB rut Champagne,75,12.5,64.95,Wine & Champagne
Champagne De Sousa Brut Rose Champagne,75,12.5,44.95,Wine & Champagne
Laurent-Perrier Alexandra Rose 2004,75,12,330,Wine & Champagne
Charles Fox Brut Reserve NV,75,12.5,19.95,Wine & Champagne
Brice Bouzy Grand Cru 2013 Champagne,75,12,52.95,Wine & Champagne
Ayala Blanc de Blancs 2014,75,12,52.95,Wine & Champagne
Jacques Lassaigne Les Vignes de Montgueux,150,12,110,Wine & Champagne
Ayala Brut Majeur,37.5,12,19.95,Wine & Champagne
Laurent-Perrier La Cuvee Brut NV Champagne,37.5,12,27.45,Wine & Champagne
AR Lenoble Brut Intense Mag 17 Champagne,37.5,12.5,19.95,Wine & Champagne
Henri Giraud Esprit Nature Champagne,37.5,12,27.95,Wine & Champagne
Champagne Dehours Grande Reserve Brut NV,37.5,12,23.95,Wine & Champagne
Veuve Fourny et Fils Vertus 1er Cru 2014 Champagne,75,12,54.95,Wine & Champagne
Billecart-Salmon Brut Sous Bois Champagne,75,12,68.95,Wine & Champagne
Andre Jacquart Le Mesnil Blanc de Blancs Champagne,75,12.5,64.95,Wine & Champagne
Brice Brut Tradition NV Champagne,37.5,12,23.95,Wine & Champagne
Brice Brut Tradition NV Champagne,75,12,40.95,Wine & Champagne
Andre Jacquart Le Mesnil Grand Cru Blanc de Blanc Brut Nature,75,12.5,49.95,Wine & Champagne
Henri Giraud Hommage au Pinot Noir,75,12,67.95,Wine & Champagne
Martini Rose Sparkling Wine,75,8,10.95,Wine & Champagne
Smith & Evans Sparkling Wine 2015,75,11.5,31.75,Wine & Champagne
Champagne Dumangin J Fils Rose NV,75,12,45.95,Wine & Champagne
Champagne Dumangin J Fils Extra Brut NV,75,12,43.95,Wine & Champagne
Champagne Dumangin J Fils Cuvee 17 NV,75,12,38.95,Wine & Champagne
Jacques Picard Brut Nature NV Champagne,75,12,44.95,Wine & Champagne
Mumm Cordon Rouge Champagne,150,12,81.95,Wine & Champagne
