Product_name,Alcohol_amount,Alcohol_percent,Price,Category
Cognac Park Millesimes Fin Bois 1970,70,40,420,Cognac
Cognac Park Extra,70,40,150,Cognac
Cognac Park Chai No.8 Borderies,70,43,155,Cognac
Cognac Park Cigar Blend,70,40,105,Cognac
Cognac Park XO Grande Champagne,70,40,77.95,Cognac
Cognac Park 2004 Mizunara Cask,70,44,99.95,Cognac
Cognac Park Borderies,70,40,51.95,Cognac
Cognac Park Fins Bois Organic,70,40,42.95,Cognac
Cognac Park VS,70,40,34.95,Cognac
Prunier 1950 Grande Champagne,70,50,875,Cognac
Prunier Rare Reserve Claire,70,43,455,Cognac
Vallein-Tercinier 1989 Grande Champagne Cognac,70,47.7,153,Cognac
Hennessy Nostalgie de Bagnolet Crystal Decanter,70,40,"3,500",Cognac
Courvoisier VSOP Liqueur Cognac,68,40,175,Cognac
Courvoisier 3 Star Cognac,68,40,199,Cognac
Remy Martin VSOP Cognac,70,40,150,Cognac
Michel Forgeron Folle Blanche 2007 GC Cognac,50,47,49.95,Cognac
Michel Forgeron Folle Blanche 2008 GC Cognac,50,47,53.25,Cognac
Michel Forgeron Folle Blanche 2009 GC Cognac,50,47,57.75,Cognac
Michel Forgeron Folle Blanche 2010 GC Cognac,50,47,62.25,Cognac
Michel Forgeron Folle Blanche 2011 GC Cognac,50,47,64.95,Cognac
Michel Forgeron Folle Blanche 2012 GC Cognac,50,47,69.75,Cognac
Michel Forgeron Folle Blanche 2013 GC Cognac,50,47,72.75,Cognac
Rémy Martin 250th Anniversary (1724-1974),70,40,"1,500",Cognac
Remy Martin VSOP Cognac,70,40,175,Cognac
Hine 1987 Cognac,70,40,175,Cognac
Remy Martin VSOP,68,40,150,Cognac
Gaston de Lagrange VSOP Cognac,68,40,125,Cognac
Denis-Mounié 1926,75,40,"1,000",Cognac
Martell 3 Stars Cognac,70,40,150,Cognac
Remy Martin 1878 Cognac,70,40,"10,000",Cognac
Moyet Cognac 1815,50,40,"3,750",Cognac
Hine 1985 Cognac,70,40,199,Cognac
Camus Celebration,68.5,40,299,Cognac
Hennessy VSOP Privilege Cognac,70,40,54.95,Cognac
Frapin Cuvee 1888 Cognac,70,40,"5,000",Cognac
Camus VS Port Cask Finish,70,43.2,47.95,Cognac
Camus 2015 Monbazillac Cask Saint Aulaye Single Cru,70,40,47.95,Cognac
Delamain Collection Plenitude 1991,70,46,380,Cognac
Remi Landier Special Pale Fins Bois Cognac,70,45,44.95,Cognac
Coutanseaux Aine Hors d'Age Cognac,70,40,625,Cognac
Delamain Ancestral Grande Champagne Cognac,70,43,475,Cognac
AE Dor 1840 Cognac,70,34,"11,000",Cognac
Martell VSOP Cognac,75,42,650,Cognac
Jean-Luc Pasquet Le Cognac d’Eraville,50,42.8,76.95,Cognac
Jean-Luc Pasquet XO Grande Champagne,70,40,86.95,Cognac
Sazerac de Forge et Fils Finest Original Cognac,70,47,110,Cognac
Meukow 1937,70,41.3,"2,250",Cognac
Martell Cordon Bleu Cognac,75,40,"1,200",Cognac
