name,location,property,price,bedrooms,bathrooms,Pool,link
Pos Abao 32M,Noord,Sold,224.157,2,2,No,https://kw-aruba.com//listings/pos-abao-32m
Cas Ariba 37C,Santa Cruz,Sold,221.910,3,2,No,https://kw-aruba.com//listings/cas-aruba-37c
Yanana 9,Oranjestad,,219.101,3,3,,https://kw-aruba.com//listings/yanana-9
Isla Esmeralda Lot 18,Tanki Leendert,Sold,217.574,2,2,,https://kw-aruba.com//listings/isla-esmeralda-lot-18
Boegoeroei 32-C,Noord,Sold,215.000,2,2,No,https://kw-aruba.com//listings/boegoeroei-32-c
Orcuyo 30,Santa Cruz,Sold,213.000,0,0,,https://kw-aruba.com//listings/orcuyo-30
Mabon 5-B,San Nicolas,New Listing,212.922,4,3,No,https://kw-aruba.com//listings/mabon
Seroe Blanco 610,Oranjestad,New Listing,210.674,2,1,Yes,https://kw-aruba.com//listings/sero-blanco-601
Hooiberg 18-I,Santa Cruz,New Listing,207.023,2,2,No,https://kw-aruba.com//listings/hooiberg-residence
Savaneta 125-G,Savaneta,Under contract,202.247,3,2,No,https://kw-aruba.com//listings/savaneta-125-g
Paradera 117L - 1,Paradera,New Listing,199.000,2,1,No,https://kw-aruba.com//listings/paradera-117l-1
Sabana Grandi 34 E,Santa Cruz,Reduced in price,196.629,3,1,No,https://kw-aruba.com//listings/sabana-grandi-34-E
Santa Cruz Residence,Santa Cruz,Reduced in price,196.629,4,2,No,https://kw-aruba.com//listings/santa-cruz-residence
MACUARIMA 144H,Santa Cruz,Sold,196.600,3,2,No,https://kw-aruba.com//listings/macuarima-144
Pos Chiquito 16 B,Pos Chiquito,Sold,182.585,3,1,,https://kw-aruba.com//listings/pos-chiquito-16-b
Jan Flemming 3-G,Santa Cruz,Under contract,182.584,3,2,No,https://kw-aruba.com//listings/jan-flemming-3-g
Sabana Liber 486,Noord,Sold,178.090,2,1,Yes,https://kw-aruba.com//listings/sabana-liber-486
Coba Lodo 2-G,Santa Cruz,Reduced in price,176.967,3,2,No,https://kw-aruba.com//listings/Coba Lodo-2-G
Wabistraat 2,Oranjestad,Sold,167.977,3,2,No,https://kw-aruba.com//listings/wabistraat-2
Weg Seroe Blanco 29 S,San Nicolas,Under contract,150.000,4,3,,https://kw-aruba.com//listings/weg-seroe-blanco-29-s
Caya Frere Fredericus,Oranjestad,,146.067,3,2,No,https://kw-aruba.com//listings/caya-frere-federicus
Kadushi largo 8H,Santa Cruz,Reduced in price,123.596,3,2,No,https://kw-aruba.com//listings/kadushi-largo-8h
Blue Residence Townhouse 2,Eagle Beach,New Listing,1.500.000,4,3,Yes,https://kw-aruba.com//listings/blue-residence-2
Blue Residence Penthouse 1-2,Eagle Beach,,1.223.550,3,4,Yes,https://kw-aruba.com//listings/blue-residence-penthouse-1-2
Blue Residence Townhouse 4,Eagle Beach,New Listing,1.179.650,4,4,Yes,https://kw-aruba.com//listings/blue-residence-townhouse-4
Blue Residence Penthouse 3-5,Eagle Beach,New Listing,1.169.750,3,4,Yes,https://kw-aruba.com//listings/blue-residence-penthouse-3-5
Blue Residence Penthouse 1-5,Eagle Beach,Sold,1.145.670,3,4,Yes,https://kw-aruba.com//listings/blue-residence-penthouse-1-5
