name,location,property,price,bedrooms,bathrooms,Pool,link
Gold Coast Andicuri,Noord,New Listing,"245,000",1,1,Yes,https://remaxaruba.com/property/details/gold-coast-andicuri
Sero Biento Z/N,Santa Cruz,Reduced,"244,000",0,0,No,https://remaxaruba.com/property/details/sero-biento-zn-2
Spechtstraat 7,Oranjestad,New Listing,"233,146",5,3,No,https://remaxaruba.com/property/details/spechtstraat-7
Paradera,Paradera,New Listing,"231,000",2,1,1 m,https://remaxaruba.com/property/details/paradera
Babijn 4-B,Oranjestad,Under Contract,"229,000",3,2,No,https://remaxaruba.com/property/details/babijn-1
Catalina Estates,Malmok,New Listing,"225,000",0,0,0 m,https://remaxaruba.com/property/details/catalina-estates-2
Private Property De Lasalle Straat,Oranjestad,Reduced,"224,719",0,0,No,https://remaxaruba.com/property/details/private-property-de-lasalle-straat
J.G. Emanstraat 78,Oranjestad,Under Contract,"220,000",6,2,No,https://remaxaruba.com/property/details/J.G.%20Emanstraat%2078
Boton Property Land With Amazing Views,Santa Cruz,New Listing,"219,765",0,0,No,https://remaxaruba.com/property/details/boton-property-land
Papilon 106-Z,Santa Cruz,Commercial,"216,500",3,3,No,https://remaxaruba.com/property/details/papilon-106-z
Sabana Basora 171,Pos Chikito,,"215,000",4,3,No,https://remaxaruba.com/property/details/sabana-basora-171-2
Wariruri Condominiums,Noord,New Listing,"198,800",1,1,Yes,https://remaxaruba.com/property/details/wariruri-condominiums
Poschiquito.,Pos Chikito,New Listing,"182,584",3,1,No,https://remaxaruba.com/property/details/poschiquito
Catiri 27 J,Noord,Under Contract,"169,000",2,2,No,https://remaxaruba.com/property/details/catiri-1
Apelsinastraat # 27,Oranjestad,Under Contract,"169,000",4,2,1 m,https://remaxaruba.com/property/details/apelsinastraat-27
Hooiberg Property Land,Hooiberg,Reduced,"150,000",0,0,0 m,https://remaxaruba.com/property/details/hooiberg-property-land-lot-2306
Alto Vista 26 W,Noord,New Listing,"149,000",1,1,Yes,https://remaxaruba.com/property/details/sabana-liber-26-w
Papaya Property Land,Paradera,New Listing,"140,449",0,0,No,https://remaxaruba.com/property/details/papaya-property-land
Scobillastraat 15,Pos Chikito,New Listing,"134,000",2,1,No,https://remaxaruba.com/property/details/scobillastraat-15
Prof Laurentzstraat 22,Oranjestad,Under Contract,"131,000",4,1,No,https://remaxaruba.com/property/details/Prof-laurentzstraat-22
Sombre Z/N,Santa Cruz,New Listing,"126,404",0,0,No,https://remaxaruba.com/property/details/sombre-zn
Sero preto 23,San Nicolas,New Listing,"126,000",4,1,No,https://remaxaruba.com/property/details/sero-preto-23
Paradera 46 R,Oranjestad,New Listing,"109,551",2,2,No,https://remaxaruba.com/property/details/paradera-46-r
Rooi koochi Residence,Savaneta,Under Contract,"99,788",0,0,No,https://remaxaruba.com/property/details/rooi-koochi-residence
Timeshare in Marriot Surf Club,Eagle Beach,New Listing,"30,000",2,2,Yes,https://remaxaruba.com/property/details/timeshare-in-marriot-surf-club
La Cabana Beach and Racquet Club,Eagle Beach,,"15,000",1,2,Yes,https://remaxaruba.com/property/details/la-cabana-beach-and-racquet-club
Barcelo,Eagle Beach,Reduced,"12,000",0,0,0 m,https://remaxaruba.com/property/details/barcelo
La Cabana Beach and Racquet Club,Eagle Beach,,"6,000",1,2,Yes,https://remaxaruba.com/property/details/la-cabana-beach-and-racquet-club-2
Lux Villa 129,Malmok,New Listing,"6,000",3,2,Yes,https://remaxaruba.com/property/details/Lux-villa-129
Gold Coast Diamante 195 G,Malmok,,"4,000",2,2,Yes,https://remaxaruba.com/property/details/diamante-195-g
RENTED - Gold Coast 236 C,Noord,Rented,"3,200",2,2,Yes,https://remaxaruba.com/property/details/gold-coast-236c
Barcadera 4 - Commercial/Storage Space,Oranjestad,,"3,200",0,0,No,https://remaxaruba.com/property/details/barcadera-4-commercialstorage-space-from-375-m2-to-875-m2
De La Sallestraat 20,Oranjestad,New Listing,"3,160",0,0,No,https://remaxaruba.com/property/details/de-la-sallestraat-20
Office Space Frankrijkstraat,Oranjestad,Reduced,"3,000",0,0,No,https://remaxaruba.com/property/details/office-space-rent-frankrijkstraat
Aruba Breeze A6,Eagle Beach,New Listing,"2,900",2,2,Yes,https://remaxaruba.com/property/details/aruba-breeze-a6
Seroe Blanco 78 v,Oranjestad,New Listing,"2,800",4,3,No,https://remaxaruba.com/property/details/sero-blanco-78-v
Rented - Washington Gardens 49 P,Noord,Rented,"2,800",3,2,Yes,https://remaxaruba.com/property/details/washington-gardens-49-p
2 Bedroom Condo near Eagle Beach,Eagle Beach,,"2,750",2,2,Yes,https://remaxaruba.com/property/details/Pearly-apartment
Gold Coast Diamante 194 C,Malmok,New Listing,"2,700",2,2,No,https://remaxaruba.com/property/details/gold-coast-diamante-194-c
RENTED - Uruguay Straat 1,Oranjestad,Rented,"2,400",3,3,No,https://remaxaruba.com/property/details/uruguay-straat-1-apartment-2
RENTED - Keito 7 Q,Eagle Beach,Rented,"2,400",3,2,No,https://remaxaruba.com/property/details/keito-7-q
Primavera 21,Oranjestad,Rented,"2,303",3,2,Yes,https://remaxaruba.com/property/details/primavera-21
Calbas 5 *RENTED*,Noord,Rented,"2,250",3,2,No,https://remaxaruba.com/property/details/calbas-5
Napa Valley 62,Noord,Rented,"2,191",3,2,Yes,https://remaxaruba.com/property/details/napa-valley-62
Gold Coast 75,Noord,Rented,"2,100",2,3,Yes,https://remaxaruba.com/property/details/gold-coast-75-2
"Diamante 122 D, Gold Coast",Malmok,New Listing,"2,100",2,2,Yes,https://remaxaruba.com/property/details/diamante-122-d-gold-coast
Kudawecha 15,Eagle Beach,New Listing,"2,100",3,1,Yes,https://remaxaruba.com/property/details/kudawecha-15-2
Matadera 5-G,Noord,Rented,"2,050",5,4,Yes,https://remaxaruba.com/property/details/matadera-5-g-2-2
Aruba's Life Condo,Noord,New Listing,"1,975",2,2,Yes,https://remaxaruba.com/property/details/arubas-life-condo-2
Paradera 85-J,Paradera,Rented,"1,966",3,2,Yes,https://remaxaruba.com/property/details/paradera-85-j
Papaya 6-H,Paradera,,"1,900",3,3,Yes,https://remaxaruba.com/property/details/papaya-6-h
Rented - Washington 168,Noord,Rented,"1,800",3,1,Yes,https://remaxaruba.com/property/details/washington-168
Sabana Basora 11 B,Pos Chikito,New Listing,"1,800",3,2,No,https://remaxaruba.com/property/details/sabana-basora-11-b
Palm Beach 92-A *RENTED*,Noord,Rented,"1,798",3,2,28 m,https://remaxaruba.com/property/details/palm-beach-92-a-2
The Palm Leaf Apartments,Noord,New Listing,"1,600",1,1,Yes,https://remaxaruba.com/property/details/the-palm-leaf-apartments
Sabana Basora Noord 217,Pos Chikito,New Listing,"1,405",3,1,No,https://remaxaruba.com/property/details/Sabana-Basora-Noord-217
Barcadera 4 - Commercial Space - 150 m2,Oranjestad,,"1,286",0,1,No,https://remaxaruba.com/property/details/barcadera-4-commercial-space-150-m2
Barcadera 4 - Office Space 125 m2,Eagle Beach,Commercial,"1,208",0,1,No,https://remaxaruba.com/property/details/barcadera-4-office-space-125-m2
RENTED - Catiri 14 B,Noord,Rented,"1,200",3,1,No,https://remaxaruba.com/property/details/catiri-14-b
Barcadera 4 - Office Space 75 m2,Oranjestad,Commercial,"1,085",0,1,No,https://remaxaruba.com/property/details/barcadera-4-office-space-75-m2
Dominicanessenstraat 23 *RENTED*,Oranjestad,Rented,899,1,1,No,https://remaxaruba.com/property/details/dominicanessestraat-23
